,post_text,label
0, year sinc diagnos anxieti depress today im take moment reflect far ive come sinc,Not Depressed
1,sunday need break im plan spend littl time possibl ,Not Depressed
2,awak tire need sleep brain idea,Not Depressed
3, sewhq retro bear make perfect gift great beginn get stitch octob sew sale yay ,Not Depressed
4,hard say whether pack list make life easier reinforc much still need movinghous anxieti,Not Depressed
5,make pack list new hobbi movinghous,Not Depressed
6,point keep stuff nostalg reason cross line plain old hoard movinghous,Not Depressed
7,current findingboxesofrandomshit pack phase think im closet hoarder,Not Depressed
8,cant bother cook take away way  lazi,Not Depressed
9, itventsnew itv releas promo video final seri downton abbey  ,Not Depressed
10, also much stuff way way much movinghous,Not Depressed
11,never want put one togeth lotharderthanitlook ,Not Depressed
12,move stuff bloomin knacker there still load ,Not Depressed
13,back hous move stuff peac   ,Not Depressed
14,urgh anxieti ff come breath,Not Depressed
15,much stuff way way much massiv purg way,Not Depressed
16,hideou traffic  must rememb pay closer attent traffic report,Not Depressed
17,pack purg feel good ,Not Depressed
18,bampq look intern door fun time ,Not Depressed
19,time get mani thing busi day ahead,Not Depressed
20, get lie littl longer cat buddi ,Not Depressed
21,there noth like cocktail exhaust aid good night  sleep,Not Depressed
22,great night favourit ladi much need past day love much ,Not Depressed
23,sat sofa quick rest hour ago need move,Not Depressed
24,much want pizza right,Not Depressed
25,alway love youpet gabriel  eye ,Not Depressed
26,busi day ahead need focu im feel edg derail right,Not Depressed
27,even smallest thing still make heart break doesnt feel like ever goe away,Not Depressed
28,choos curtain pole suddenli confus mani choic ye know isnt real problem,Not Depressed
29,complet hous got key fab day whoop ,Not Depressed
30, cphighwycomb catsprotect hi  could retweet long stayer sammi suki photograph todaybuckscatsorguk ,Not Depressed
31,big day today ,Not Depressed
32,love pandastori  ,Not Depressed
33, sewhq weather outsid frightfulbut make delight here sneak peak octob issu project ,Not Depressed
34,that good news least ,Not Depressed
35,headach took nap three hour woke bit confus time day ,Not Depressed
36, deliciousmag budget  recip  less head dont compromis flavour  htt,Not Depressed
37, rspcaoffici rt ncolondon rspcaoffici pleas rt us  old dog owner get distraught lost dog  ,Not Depressed
38, bbccamb fli display vintag jet significantli restrict notic caa  limit fli past,Not Depressed
39, craftsbeauti happi monday crafter need bit pickmeup get start check  ,Not Depressed
40,dont sleep like  catsoftwitt  ,Not Depressed
41,truli aw  ,Not Depressed
42,dont understand achievepalmyra baalshamin templ blown ,Not Depressed
43, designtaxi cigarett made green tea leav claim help quit smoke  ,Not Depressed
44,get morn two whole week bliss ,Not Depressed
45,feel like invis hand tri remov eyebal spoon ,Not Depressed
46, designtaxi hair tapestri latest hair trend  ,Not Depressed
47,feel like shoreham coverag alt media gone beyond news ghoulish,Not Depressed
48,thomasevansukip mail entir mo mail onlin bare news ,Not Depressed
49,offensivebant aw ,Not Depressed
50,aw continu heartbreak  ,Not Depressed
51,lazi afternoon snooz kitti cat lazysunday,Not Depressed
52,pain heartbreak tragedi confus emot feel sad south coast friend shoreham,Not Depressed
53,pour rain cambridg sun didnt last long ,Not Depressed
54, brightonargu friend worthingutdfc footbal pay tribut teammat   ,Not Depressed
55,ive done noth last  minut enough need stand stuff lazysunday,Not Depressed
56, craftsbeauti comfi sunday morn cushion blog post make snug  ,Not Depressed
57, brightonargu  divers rout like remain place day shoreham air crash   ,Not Depressed
58, new media highlight hypocrisi human tragedi global mani choos ignor what doorstep x,Not Depressed
59,hope pilot pull there enough death today shoreham  ,Not Depressed
60,sarahbook yorkshireguy keep see comment pilot save true find quit incred,Not Depressed
61,sarahbook yorkshireguy urgh aw ,Not Depressed
62,yorkshireguy sarahbook cant shake imag unsuspect peopl drive along mind busi tragic sad,Not Depressed
63,sarahbook dear god horrif imag  aw aw aw  ,Not Depressed
64, bbcbreak  peopl confirm dead plane crash sever vehicl  shoreham airshow ,Not Depressed
65,sarahbook bbc report  fatal far  aw,Not Depressed
66,toaster shop needlessli confus,Not Depressed
67,find hard find funki decent qualiti toaster reason price silver bore cheap look firstworldproblem,Not Depressed
68, bbcsussex sad footag releas shoreham air crash content obvious distress ,Not Depressed
69,sarahbook thought ,Not Depressed
70,aw aw tragedi let hope casualti  ,Not Depressed
71,true  ,Not Depressed
72,sofa shop whoop ,Not Depressed
73,cat alway overjoy see everi morn kind love priceless ,Not Depressed
74,jessgrac beach trip ,Not Depressed
75,jessgrac go go,Not Depressed
76,dusk warm cool  ,Not Depressed
77,mrbenbrown awesom motovlog commentari great fun want bike ,Not Depressed
78,  dolphin spot head east hove keep look brightonargu,Not Depressed
79,finish servic centr call didnt make want cri punch someth good work eon ,Not Depressed
80, cambridgenewsuk man taken hospit suffer arm wrestl injuri mill road ,Not Depressed
81,eonhelp ,Not Depressed
82,eonhelp hi thx ye found end spoke nice help young ladi sort thx,Not Depressed
83,eonhelp last tweet dont worri spoke v help young ladi sort thx,Not Depressed
84,eonhelp hi im tri find number phone new account cant find pleas advis thx,Not Depressed
85,fragil ego umbrag taken blink need break,Not Depressed
86, dtkenilworth dog desper treatsben friend would grate donat dogstrust ,Not Depressed
87,two week cant fing wait need get away work,Not Depressed
88, homemad  thing didnt know could malteas epic  ,Not Depressed
89,feel strang mix excit sad big chang loom liber mani way lifeischang,Not Depressed
90,last time im go take bu work feel weird,Not Depressed
91, need care less dont want hard heart ,Not Depressed
92,dont know allow feel disappoint someon even time,Not Depressed
93,last day offic  week whoop ,Not Depressed
94,horribl muggi weather cambridg weather,Not Depressed
95,howev go miss live road peopl drive like lunat,Not Depressed
96,walk home occur walk home wont possibl soon miss,Not Depressed
97,wonder turn raymond  ,Not Depressed
98,ive decid life need pink cuddler chairb ,Not Depressed
99,love stori  ,Not Depressed
100,good luck kid get gcse result today  resultsday,Not Depressed
101,peopl amp traffic everyon quietcambridg,Not Depressed
102,faf consid hobbi im good,Not Depressed
103,absolut  ,Not Depressed
104,think right sofa shop excit lol ,Not Depressed
105,suppos get,Not Depressed
106,need sleep excit day im still buzz ,Not Depressed
107,mini hog earlier even one two move  ,Not Depressed
108, designtaxi best time post facebook instagram twitter  ,Not Depressed
109,anoth mileston day insur place final view tonight deposit prepar exchang immin  ,Not Depressed
110, ,Not Depressed
111,miss everi singl day dont think know still true ,Not Depressed
112,there either eyelash eleph eye either way net result pain,Not Depressed
113, elephantopia eleph fact day eleph herd consid one close knit societi anim ,Not Depressed
114,celiahammond beauti spopi adopt chat  love  last week  blackcatappreciationday ,Not Depressed
115,nimmykin still use account,Not Depressed
116, rspcaoffici beauti,Not Depressed
117,interest read bbc news  better diagnosi call adult adhd ,Not Depressed
118,rspcaoffici girl spopi blackcatappreciationday ,Not Depressed
119,cement statu crochet weirdo staff cafe ,Not Depressed
120,hear hear  ,Not Depressed
121,never thought id say im glad distract work someth keep product organis,Not Depressed
122,feel autumn sudden ,Not Depressed
123,made jess cake  ,Not Depressed
124, cambridgenewsuk commun ralli behind former soldier seen beg beehiv centr  ,Not Depressed
125, abigailtitmuss  ago puppi abandon ireland dogstrust took london adopt today swim california ,Not Depressed
126,miss everi singl day day feel like gutpunch,Not Depressed
127,hous smell cake ,Not Depressed
128,cotton granni squar pink grey crochet grannysquar ,Not Depressed
129,ive littl car year today happi birthday littl car still go strong ,Not Depressed
130,bad week call comfortfood ,Not Depressed
131, eli  eli cambridgeshir ,Not Depressed
132,gorgeou day drive eli  eli catherdr ,Not Depressed
133,jessgrac thought said could ,Not Depressed
134,sarahbook look aw hope your okay xx ,Not Depressed
135, brightonargu pictur sever weather hit sussex   ,Not Depressed
136,block  anoth tradit grannysquar crochet crochetblanket afghan ,Not Depressed
137,hog time  hedgehog ,Not Depressed
